0.620318385,2.496939959,0.01,0.0095
0.673855917,3.234052221,0.0316228,0.0095
0.787531959,3.793608711,0.1,0.0095
0.914540813,4.229978443,0.158489,0.0095
0.992118664,4.448708544,0.251189,0.0095
1.19299232,4.544688076,0.398107,0.0095
1.287099878,5.122955212,0.630957,0.0095
1.511954785,5.448614981,1,0.0095
1.647200323,5.64237332,1.25893,0.0095
1.807335838,5.859576763,1.58489,0.0095
1.992424941,6.082223469,1.99526,0.0095
2.204230557,6.309150269,2.51189,0.0095
2.409320697,6.582694661,3.16228,0.0095
2.757535019,6.851586381,3.98107,0.0095
3.053461307,7.164960188,5.01187,0.0095
3.478290232,7.455624958,6.30957,0.0095
3.94031327,7.969390796,7.94328,0.0095
4.453088598,8.31036258,10,0.0095
4.850710298,8.791959555,12.5893,0.0095
5.738198369,9.305252856,15.8489,0.0095
6.697393927,9.75080071,19.9526,0.0095
7.571223861,10.41262511,25.1189,0.0095
8.710746804,11.11361555,31.6228,0.0095
10.18489863,11.90057138,39.8107,0.0095
11.84241298,12.76822198,50.1187,0.0095
13.68830602,13.46694062,63.0957,0.0095
16.51816646,15.04276059,79.4328,0.0095
20.20377321,16.70908958,100,0.0095
